[00:00:00] 今天我们来说一下折板谈党
[00:06:55] 已经没有插到范围了呀
[00:06:57] 也就意味着什么呀
[00:06:58] 也就意味着咱们找不到Live-C
[00:07:00] 因为已经没有插到范围了
[00:07:02] 说明Live-C不存在
[00:07:05] 到这呢咱们就可以最后再总结一下
[00:07:08] 咱们折换插长了其实就是每次都是Live-C加Rite
[00:07:12] 出一样去牵求中间位置
[00:07:14] 然后咱们拿的没有找的数据和中间位置上的直去比减
[00:07:18] 如果一样的那就找着了呗
[00:07:19] 那就可以停止了
[00:07:20] 如果不一样那就根据比较的情况去
[00:07:23] 判断下一步的查找范围什么
[00:07:26] 也就说让Live-C等于秘的加一
[00:07:28] 或让Rite等于秘的剪一
[00:07:30] 那只要Live-C他小秘的有Rite
[00:07:32] 那就意味着还有查找范围
[00:07:34] 那就点减得着
[00:07:36] 那如果Live-C的地位乱一他了
[00:07:38] 那就意味着找不着了
[00:07:39] 就可以结束了
[00:07:41] 这就是咱们折换查找的过程
[00:07:44] 希望小范围听完之后能够理解的更加深刻
[00:07:47] 如果有喜欢我的小范围
[00:07:48] 那就可以点赞收藏加关注
