[00:00:11] 咱们今天来说一下逼书的山厨
[00:06:17] 随便调一个兄弟进行核病
[00:06:20] 不管和左兄弟核病还是和右兄弟核病
[00:06:23] 那过程呢都是父亲元素下一道左边的戒点
[00:06:27] 然后右边的戒点核病过来就可以了
[00:06:29] 那因为父亲戒点有一个元素下移了对吧
[00:06:33] 那是不是父亲戒点就会少一个元素呀
[00:06:36] 所以说咱们还需要检查一下父亲戒点有没有出现下一出的情况
[00:06:40] 那此时是没有的
[00:06:41] 那如果父亲戒点也
[00:06:43] 跟着下一出了该怎么办呢
[00:06:45] 咱们继续看山下一个数就知道了
[00:06:48] 那下一个是30你同样咱们先找到30的位置
[00:06:52] 发现它处在非夜戒点上
[00:06:54] 那么咱们可以让它的后级元素
[00:06:56] 也就是40去替换它
[00:06:58] 当然这里也可以去找它的前区元素安
[00:07:01] 那40的替换过去
[00:07:02] 然后山处掉原来的40就可以了
[00:07:05] 那问题呢最终转化成了山处夜戒点上的元素对吧
[00:07:09] 那么现在三条它
[00:07:10] 那这个时候呢戒点出现下一出了
[00:07:13] 那同样咱们需要去看它的左右兄弟够不够戒
[00:07:16] 那发现都正好只有两个元素都不够戒了对吧
[00:07:20] 那这个时候咱们就需要进行和病操作
[00:07:24] 那比我说呢咱们让它和它的右兄弟和病
[00:07:27] 那这里呢也可以和左兄弟和病
[00:07:29] 那么同样咱们让富元素42好像下一道左边的戒点
[00:07:35] 然后右边的戒点呢
[00:07:36] 并过来
[00:07:37] 那当然原来右边的那个子书和空的富元素
[00:07:41] 就可以移除掉了
[00:07:42] OK那这样就调整好了
[00:07:44] 但是咱们发现啊
[00:07:45] 父亲戒点跟这也下一出了
[00:07:48] 因为刚刚下一类的元素嘛
[00:07:50] 最说咱们要注意
[00:07:51] 直心和病操作啊
[00:07:53] 是有可能导致父亲的也下一出的
[00:07:56] 那么这个时候咱们就需要继续看40的左右兄弟够不够戒
[00:08:00] 咱们可以发现它只有右兄弟
[00:08:02] 而且右兄弟是够戒的
[00:08:04] 那就直行戒的操作
[00:08:06] 也就是附下来凶上去
[00:08:08] 那先让富元素46下一道下于处的戒点中
[00:08:12] 然后呢在让兄弟戒点的
[00:08:14] 第一个书51已经上一一
[00:08:17] 那这个时候要注意啊
[00:08:18] 此时的兄弟戒点呢是有此书的
[00:08:21] 咱们还需要把右兄弟中最左边的子书
[00:08:24] 也揉到左边的去
[00:08:25] 也就是把他揉过来
[00:08:27] 那如果适合左兄弟戒呢
[00:08:29] 不道理一样了
[00:08:30] 但如果左兄弟有此书
[00:08:32] 那就把他的一罪右边的子书
[00:08:34] 我来就可以了
[00:08:35] OK
[00:08:36] 那这样就调整好了
[00:08:37] 那因为没有旨心和病操作
[00:08:39] 所以说不会再出现下一出了
[00:08:41] 咱们继续生出57
[00:08:43] 那么先找到57的位置
[00:08:46] 发现它处在一夜子戒点上
[00:08:48] 那么直接删到它都可以了
[00:08:49] 删出后呢发现剪点并没有出现下一出
[00:08:53] 那么咱们就不需要任何调整
[00:08:55] 咱们继续删出53
[00:08:56] 发现53呢在一夜戒点上
[00:08:59] 那么直接删掉
[00:09:00] 删到之后呢发现下一出了
[00:09:03] 那么这个时候咱们看它的左右兄弟够够戒
[00:09:06] 发现它只有右兄弟对吧
[00:09:08] 哪儿且右兄弟是不够戒了
[00:09:10] 那就执行和病操作
[00:09:12] 那富元素65呢
[00:09:14] 先下一到左边的剪点中
[00:09:16] 然后右边的剪点呢
[00:09:17] 并过来
[00:09:18] 然后把富元素原来的位置
[00:09:21] 和空的右子书删掉就可以了
[00:09:23] 但是发现富戒点也跟着下一出了
[00:09:26] 那此时呢细续看他的左右兄弟
[00:09:29] 那发现它只有左兄弟对吧
[00:09:31] 而且左兄弟是不够戒了
[00:09:33] 因为它只有两个元素
[00:09:35] 那就继续执行和病操作了
[00:09:37] 就是先让51呢下一到左边的剪点
[00:09:40] 然后右边的剪点呢并过来
[00:09:42] 那这个时候咱们要注意啊
[00:09:44] 右边的剪点如果有子书的话
[00:09:47] 并过去的时候也得稍带上它的子书
[00:09:49] 最后删掉富元素原来的位置
[00:09:52] 和空的右子书就可以了
[00:09:54] 那这个时候呢发现根剪点没有元素了
[00:09:56] 那么就释放掉这个根剪点
[00:09:58] 那么这个和病出来的剪点了
[00:10:00] 就变成新的根剪点了
[00:10:02] 会发现书高最终的是降低了一层对吧
[00:10:05] OK那咱们就把刚才续练中
[00:10:07] 所有的数全部删完了
[00:10:09] 同时逼书的删除搜的情况
[00:10:11] 咱们也都说完了
[00:10:12] 咱们最后复盘一下
[00:10:14] 那首先如果删除的是非业剪点上的元素
[00:10:17] 那咱们就先通过前去
[00:10:19] 或者后期的替换转换成删除业剪点上的元素
[00:10:23] 那如果删除的是业剪点上的元素
[00:10:25] 那么咱们就直接删掉啊
[00:10:27] 删除之后看看有没有出现下一出
[00:10:29] 如果没有下一出
[00:10:31] 那不需要任何调整看
[00:10:33] 如果下一出了
[00:10:34] 那就需要看左右兄弟够不接
[00:10:37] 如果兄弟够剪
[00:10:38] 那就执行剪的操作
[00:10:39] 那具体来说就是富元素下一到下一出的剪点
[00:10:43] 然后兄弟元素上去
[00:10:45] 那左右兄弟都不够剪的话
[00:10:47] 咱们就需要执行合病操作
[00:10:49] 那具体来说就是父亲元素先下一到左边的剪点
[00:10:53] 然后右边的剪点
[00:10:54] 在合病过来就可以了
[00:10:56] 合病完之后
[00:10:57] 父亲的可能出现连缩反映
[00:10:59] 也跟着下一出了
[00:11:00] 那就需要继续看兄弟够过剪
[00:11:02] 继续进行调整
[00:11:04] 那如果根结点空呢
[00:11:06] 就需要释放掉根结点
[00:11:07] 让合病出来的剪点成为新的根结点
[00:11:10] OK
[00:11:11] 咱们本次客就到这里
[00:11:13] 喜欢我的小伙伴们记得一件三流
