[00:00:12] 前面講到的B數可以像R殺搜索書那樣
[00:10:04] 這就是B加速的查找
[00:10:06] 本次課就到這裡
[00:10:08] 關於B加速的差弱和刪除
[00:10:10] 也和B數比較類似
[00:10:12] 因為考試B弄不會設計
[00:10:14] 如果有想看的小伙伴
[00:10:16] 可以在評論去留言
[00:10:17] 人數比較多的話
[00:10:18] 會在後面進行更新看
[00:10:20] 喜歡我的小伙伴
[00:10:21] 別忘記1.3.0
