[00:00:00] 最近有一个开业项目实在是太火了
[00:04:38] 开发完成以后写号描述
[00:04:40] 并且提交PR
[00:04:41] 它会调用本地的Codex
[00:04:43] 或者Cloud Code去进行开发
[00:04:46] 这个时候你根本就不需要再去打开电脑了
[00:04:48] 躺在床上就可以指挥它去把工作完成
[00:04:51] 你也可以让它去查看有没有新的医术
[00:04:53] 如果是Bug就修复一下
[00:04:55] 当然对于实际的项目来说还是要小心使用
[00:04:58] 毕竟代码虽然是AI写的
[00:05:00] 但是责任还是要自己付的
[00:05:02] 第二个就是咱们再来看一个日常当中
[00:05:05] 可以使用的例子
[00:05:06] 比如我给小鸡发了一段语音
[00:05:08] 这个是我关于年会的一些安排
[00:05:19] 它会自动的去帮我总结和拆分
[00:05:22] 内容其实可以直接复制使用
[00:05:24] 但是我还要求它要把具体的任务
[00:05:26] 发送给相对应的人的邮件
[00:05:30] 然后再给我去设置好提醒
[00:05:32] 然后我们就可以看到它会自动的去完成各种操作
[00:05:36] 我们进入邮箱就能看到已经发好了邮件
[00:05:39] 这里也要提醒一下
[00:05:40] 想要发送邮件的话
[00:05:41] 需要提前配置一下邮箱的SMTP
[00:05:43] 这个过程我也省略掉了
[00:05:45] 如果你不会配的话可以问一下Cloudbot
[00:05:47] 它会告诉你怎么配置
[00:05:49] 你按照它的要求去操作就可以了
[00:05:51] 怎么样 感觉Cloudbot的效果如何呢
[00:05:53] 这里其实我也只发挥了它一小部分的能力
[00:05:57] 如果你不知道在什么场景当中去使用
[00:05:59] 你可以去看一下Cloudbot的SoCase
[00:06:02] 这里面有社区分享的使用心得
[00:06:04] 你可以去里面找一找灵感
[00:06:06] Cloudbot还有一个非常重要的点
[00:06:08] 就是可以使用本地的模型
[00:06:10] 这里官方给的建议是LM Studio去配合MiniMax 2.1
[00:06:14] 但是MiniMax 2.1确实有点大
[00:06:17] 最小的我本地也跑不了
[00:06:19] 所以我只能换成是最新的一个JRM 4.7
[00:06:22] 那模型这部分我就跳过了
[00:06:25] 其实也就是直接下载运行就可以了
[00:06:27] 如果实在不知道怎么弄
[00:06:29] 可以去翻一下我之前的视频
[00:06:30] 本地跑模型我已经介绍过很多了
[00:06:33] 有了本地模型以后
[00:06:34] 你可以直接在Cloudbot里去做配置
[00:06:37] 或者你也可以在Cloudbot里告诉它
[00:06:40] 你要怎么去修改
[00:06:41] 然后让它自己去执行
[00:06:43] 那看过安装 配置和使用以后
[00:06:46] 我们再来深入的解析一下它的架构
[00:06:48] 其实Cloudbot非常让我惊艳的
[00:06:50] 就是它的完整的架构设计
[00:06:52] 这是我弄的一个架构图
[00:06:54] 首先我们来看一下
[00:06:55] 最外层是各种的介入
[00:06:57] 比如像各种的Channel
[00:06:59] 还有TUI WebUI或者是Mac的App
[00:07:02] 那这些介入都会介入到Cloudbot的Gateway
[00:07:05] 这个也是Cloudbot的核心中枢
[00:07:08] 它负责的就是统一的管理绘画
[00:07:10] 还有路由不同的渠道
[00:07:12] 还有就是服务长期运行的逻辑
[00:07:14] 再接下来就是Agent Runtime
[00:07:17] 它会调用用户配置的大元模型
[00:07:19] 来去生成响应 规划任务
[00:07:20] 还有执行具体的操作
[00:07:22] 为了让Agent能够具体做事
[00:07:24] Cloudbot还配置了可插拔的Tools和Skill
[00:07:28] 这些扩展模块封装了像文件的操作
[00:07:31] 浏览器的控制 还有定时任务等能力
[00:07:33] 就可以让智能体去执行具体的操作了
[00:07:36] 而且还可以接入不同的节点
[00:07:38] 在不同的节点上去完成各种任务
[00:07:41] 最底层是长期的记忆机制
[00:07:43] 通过本地存储的Markdown等文件
[00:07:45] 去积累用户的偏好和历史的上下文
[00:07:48] 来实现这种跨对话的连续感知
[00:07:50] 那最后来说一些我个人的感受
[00:07:53] 作为一个开软项目来说
[00:07:54] 它的完成度是非常高的
[00:07:56] 虽然目前也有一些不完善
[00:07:58] 但你确实没办法要求
[00:08:00] 它用一个月的时间就全面超过商业的产品
[00:08:03] 而且我还看到它有几点非常值得关注
[00:08:06] 第一就是Cloudbot强调这种服务的概念
[00:08:09] 让AI牺牲24小时的工作
[00:08:11] 再配合上底层的工具和skill
[00:08:14] 去在后台完成各种任务
[00:08:16] 第二个就是接入的方式非常友好
[00:08:19] 通过聊天工具的方式
[00:08:20] 可以大大的提升使用的便捷性
[00:08:23] 第三个就是它的长期记忆机制
[00:08:25] 再去配合上各种定时任务
[00:08:27] 它会不断的记住用户的喜好和习惯
[00:08:30] 然后去主动性的形成一些定期任务
[00:08:32] 而且我觉得它还有更多的潜力可以去挖掘
[00:08:36] 好了 这里是IT咖啡馆
[00:08:37] 我们下次再见
[00:08:39] by bwd6
