[00:00:00] Clothbolt一夜爆火
[00:06:21] 每天早上8点都执行这个工作
[00:06:23] 我们可以在KlaudeBalt的控制后台查找到这个定身物
[00:06:26] 每天早上8点都会自动执行这个工作
[00:06:29] 流程发送给我简报效果不错
[00:06:31] 除了操作刘兰气
[00:06:32] KlaudeBalt还有图像识别等
[00:06:34] AA视觉方面的能力
[00:06:36] 这里打开Mac mini的设置
[00:06:38] 隐私与安全设置
[00:06:39] 录频与系统录音
[00:06:40] 我们在这里搜索中端两个字
[00:06:43] 给命令行中端添加上录频和录音的全线
[00:06:46] 接下来重启一下KlaudeBalt
[00:06:48] 我在手机里面说
[00:06:49] 请给现在的Mac结一个图
[00:06:51] Mac电脑当前的图片就发送到了我的手机上
[00:06:54] 可以实时的对状态进行监控
[00:06:56] 目前为止
[00:06:57] 我们依赖的是海外的聊天工具
[00:06:59] 接下来我们把KlaudeBalt接入飞书
[00:07:02] 让它在国内的网络也可以顺畅使用
[00:07:04] 我们先来到飞书开放平台
[00:07:06] 点击创建企业应用
[00:07:08] 填写一个名字与描述
[00:07:10] 接下来点击左侧
[00:07:11] 添加应用能力
[00:07:12] 选择机器人
[00:07:13] 然后我们来到全线管理
[00:07:15] 点击添加全线
[00:07:17] 总共需要添加屏幕上
[00:07:18] 这些所有的全线
[00:07:20] 接下来来到版本管理域发布
[00:07:22] 填写一个版本号
[00:07:23] 点击发布
[00:07:24] 我们回到Mac中端
[00:07:25] 输入第一个命令安装飞书插件
[00:07:27] 第二个命令配置APPID
[00:07:30] APPID可以在飞书开放平台
[00:07:32] 评证与基础信息里面找到
[00:07:34] 把ID占贴到命令行里面執行一下
[00:07:37] 然后配置APPC Creed
[00:07:39] 同样在评证与基础信息里面找到
[00:07:41] 同样的把C Creed放到命令里面執行一下
[00:07:44] 下一个命令开启飞书Channel
[00:07:46] 最后第四个命令
[00:07:47] 把链接方式改成WebSolkit
[00:07:49] 然后我们重启一下CuddledBout
[00:07:51] 这里我总结了需要执行的几个命令
[00:07:54] 有需要的观众朋友们可以截图保存一下
[00:07:56] 回到飞书开放平台
[00:07:58] 在事件与回掉这里选择唱链接
[00:08:00] 点击这个签笔
[00:08:02] 点击添加事件
[00:08:03] 然后勾选接收消息
[00:08:05] 最后点击顶部的创建版本
[00:08:07] 我们再提交一个新的版本
[00:08:08] 这样飞书就配置完成了
[00:08:10] 在飞书的手机APP里面
[00:08:12] 我们可以找到开发者住手
[00:08:14] 然后点击打开应用
[00:08:15] 这里我打一个招呼你好
[00:08:17] 飞书有一个非常可爱的
[00:08:18] 机器人正在输入的表情
[00:08:20] 我问他现在几点了
[00:08:21] 这里给出了回答
[00:08:22] 然后我让他给Mac结一个评
[00:08:24] 他告诉我需要现在控制台
[00:08:26] 跟他对换一次开通全线才可以截屏
[00:08:29] 这里我们来到Mac上面的控制台
[00:08:31] 跟他对换一次允许截屏
[00:08:33] 这样截屏完成
[00:08:34] 我们看到飞书也同样可以传递文件
[00:08:36] 传递截屏
[00:08:37] 我们把聊天方式换成了国内平台
[00:08:40] AMO型同样也可以换成国内平台
[00:08:42] CuddledBout的作者推荐使用minimax
[00:08:45] 这里我们来到minimax开放平台
[00:08:47] 左侧选到接口密钥
[00:08:49] 然后创建一个epiK
[00:08:51] 然后我们打开Mac的控制台
[00:08:53] 输入CuddledBout的config
[00:08:54] 来配置一下
[00:08:55] 模型选择minimax
[00:08:57] 然后我们把刚才创建的minimaxepiK
[00:09:00] 填写进来
[00:09:01] 一路回车就配置完成
[00:09:03] 来到CuddledBout的控制台
[00:09:04] 输入minimax鞋线models
[00:09:06] 然后我们可以选择minimax模型
[00:09:09] 选择完模型以后
[00:09:10] 我们再重启一下CuddledBout
[00:09:12] 这样模型就切换完成了
[00:09:15] CuddledBout的强大支处
[00:09:16] 在于它内置的scuse
[00:09:18] 可以把各种第三方的生态接入进来
[00:09:20] 比如这里的GiuGscuse
[00:09:22] 可以把谷歌游乡日力
[00:09:24] 文档统功能都接入CuddledBout
[00:09:26] 我们点击这个安装按钮
[00:09:28] 这里要提醒一下大家
[00:09:29] 安装的时候要把Mac系统更新到最新版
[00:09:32] 否则有可能会失败
[00:09:33] 这样一件就安装完成
[00:09:35] 来到谷歌Cuddled
[00:09:36] 我们在左侧菜单找到API与服务
[00:09:39] 选到OOS全线请求页面
[00:09:41] 创建OOS客户端
[00:09:43] 应用类型选择桌面APP
[00:09:45] 然后我们把生成的JSON文件保存下来
[00:09:48] 把文件拖拽进CuddledBout
[00:09:50] 告诉它配置一下GiuG的认证
[00:09:53] 然后我们登录谷歌账号
[00:09:54] 并且数据全线
[00:09:56] 这样就完成了配置
[00:09:57] 接下来我让它看看我的邮箱里有什么邮件
[00:09:59] 让它总结一下
[00:10:01] 这里AA提示我需要再开通一个机庙API的全线
[00:10:04] 我按照它的提示把全线开通完成
[00:10:07] 它就可以读取到我的邮件了
[00:10:09] 接下来我让它把所有的邮件移动到垃圾箱
[00:10:12] 这里也成功完成了
[00:10:13] 我在手机上让CuddledBout帮我发送一封邮件
[00:10:16] 我们看到邮件可以成功发送
[00:10:18] 我让CuddledBout设置两分钟一次的新跳检查
[00:10:21] 如果有发现新的邮件就发消息通知我
[00:10:24] 我给这个机庙邮箱发送一个邮件来测试一下
[00:10:27] 这里CuddledBout成功给到了通知
[00:10:30] 我让它总结一下邮件内容
[00:10:31] 它也完成了总结
[00:10:33] AA助手对接其他生态一个重要的渠道就是MCP
[00:10:37] 我们可以在Skills里面找到MCPポーター
[00:10:40] 把这个Skills安装一下
[00:10:41] 接下来我告诉AA用MCPポーター来配置一个百度地图的MCP
[00:10:46] 我把这个MCP的说明文章贴给了它
[00:10:48] AA提供了三种安装方案
[00:10:50] 我选择4Dreamable HDDP
[00:10:53] 它同时要求我提供百度地图的API-K
[00:10:56] 把API-K复制一下
[00:10:57] 沾贴给它
[00:10:58] 这样就完成了配置
[00:10:59] 它已经可以使用这个MCP查询到地理位置的作标了
[00:11:03] 这样我们就配置完成了
[00:11:05] 我们也可以在手机里面使用
[00:11:07] 我让它查询一下从轻到太平巧公园
[00:11:10] 到牢山洋扣紧区怎么走
[00:11:11] 这里成功给到了规划路线
[00:11:13] 效果不错
[00:11:14] 我们再来看一个Skills的使用
[00:11:16] 这里有一个Skills叫做Coding Agent
[00:11:19] 它可以驱动本地的Codex
[00:11:20] Code的OpenCode等AA编程工具
[00:11:23] 直接进行编程
[00:11:25] 这里我们先把Skills安装一下
[00:11:27] 我在Mac电脑上登录了我的Codex
[00:11:29] 接着我在手机上跟AA说
[00:11:31] 雕用Codex创建一个贪值蛇的游戏
[00:11:34] 我们看到程序就编写好了
[00:11:36] 这样我们就通过CodeBout
[00:11:38] 驱动Codex完成了一个程序的开发
